Smithsonian Museum(A),,,,,Amon Carter(B),,,,Confidence
fullName@A,appellation@A, person @A,birthYear@A,deathYear@A, name @B, person @B, birthYear @B, deathYear @B,
Albert Southworth,,http://collection.americanart.si.edu/id/person-institution/7222,1811,1894,Albert Sands Southworth,http://collection.cartermuseum.org/id/person-institution/albert-sands-southworth,1811,1894,67
Alfred Frueh,,http://collection.americanart.si.edu/id/person-institution/1691,1880,1968,Alfred J. Frueh,http://collection.cartermuseum.org/id/person-institution/alfred-j.-frueh,1880,1968,80
Alfred J. Miller,,http://collection.americanart.si.edu/id/person-institution/3318,1810,1874,Alfred Jacob Miller,http://collection.cartermuseum.org/id/person-institution/alfred-jacob-miller,1810,1874,77
Andrew J. Russell,,http://collection.americanart.si.edu/id/person-institution/6741,1829,1902,Andrew J. Russell,http://collection.cartermuseum.org/id/person-institution/andrew-j.-russell,1830,1902,80
Arthur Bowen Davies,,http://collection.americanart.si.edu/id/person-institution/1141,1862,1928,Arthur B. Davies,http://collection.cartermuseum.org/id/person-institution/arthur-b.-davies,1862,1928,77
Arthur Davies,,http://collection.americanart.si.edu/id/person-institution/1141,1862,1928,Arthur B. Davies,http://collection.cartermuseum.org/id/person-institution/arthur-b.-davies,1862,1928,82
Arthur Garfield Dove,,http://collection.americanart.si.edu/id/person-institution/1324,1880,1946,Arthur Garfield Dove,http://collection.cartermuseum.org/id/person-institution/arthur-garfield-dove,1880,1946,100
Arthur W. Dow,,http://collection.americanart.si.edu/id/person-institution/1325,1857,1922,Arthur Wesley Dow,http://collection.cartermuseum.org/id/person-institution/arthur-wesley-dow,1857,1922,61
Bertha Bull,,http://collection.americanart.si.edu/id/person-institution/3016,1869,1954,Bertha Lum,http://collection.cartermuseum.org/id/person-institution/bertha-lum,1869,1954,65
Bror Julius Olsson Nordfeldt,,http://collection.americanart.si.edu/id/person-institution/3568,1878,1955,Bror Julius Olsson Nordfeldt,http://collection.cartermuseum.org/id/person-institution/bror-julius-olsson-nordfeldt,1878,1955,100
Carleton Eugene Watkins,,http://collection.americanart.si.edu/id/person-institution/5251,1829,1916,Carleton E. Watkins,http://collection.cartermuseum.org/id/person-institution/carleton-e.-watkins,1829,1916,76
Carleton Watkins,,http://collection.americanart.si.edu/id/person-institution/5251,1829,1916,Carleton E. Watkins,http://collection.cartermuseum.org/id/person-institution/carleton-e.-watkins,1829,1916,88
Charles Herbert Moore,,http://collection.americanart.si.edu/id/person-institution/6621,1840,1930,Charles Herbert Moore,http://collection.cartermuseum.org/id/person-institution/charles-herbert-moore,1840,1930,100
Charles Keeler,,http://collection.americanart.si.edu/id/person-institution/2577,1882,1964,Charles Sheeler,http://collection.cartermuseum.org/id/person-institution/charles-sheeler,1883,1965,61
Charles R. Sheeler, Jr.,http://collection.americanart.si.edu/id/person-institution/4409,1883,1965,Charles Sheeler,http://collection.cartermuseum.org/id/person-institution/charles-sheeler,1883,1965,86
Clara E. Sipprell,,http://collection.americanart.si.edu/id/person-institution/6747,1885,1975,Clara Sipprell,http://collection.cartermuseum.org/id/person-institution/clara-sipprell,1885,1975,84
Daniel C. French,,http://collection.americanart.si.edu/id/person-institution/1666,1850,1931,Daniel Chester French,http://collection.cartermuseum.org/id/person-institution/daniel-chester-french,1850,1931,62
Dennis M. Bunker,,http://collection.americanart.si.edu/id/person-institution/28792,1861,1890,Dennis Miller Bunker,http://collection.cartermuseum.org/id/person-institution/dennis-miller-bunker,1861,1890,70
Eadweard J. Muybridge,,http://collection.americanart.si.edu/id/person-institution/3475,1830,1904,Eadweard Muybridge,http://collection.cartermuseum.org/id/person-institution/eadweard-muybridge,1830,1904,91
Eadweard James Muybridge,,http://collection.americanart.si.edu/id/person-institution/3475,1830,1904,Eadweard Muybridge,http://collection.cartermuseum.org/id/person-institution/eadweard-muybridge,1830,1904,70
Edward Curtis,,http://collection.americanart.si.edu/id/person-institution/1083,1868,1952,Edward S. Curtis,http://collection.cartermuseum.org/id/person-institution/edward-s.-curtis,1868,1952,82
Edward Sheriff Curtis,,http://collection.americanart.si.edu/id/person-institution/1083,1868,1952,Edward S. Curtis,http://collection.cartermuseum.org/id/person-institution/edward-s.-curtis,1868,1952,62
Eugï¿_ï¿_ne Delacroix,,http://collection.americanart.si.edu/id/person-institution/1183,1798,1863,EugÌ¬ne Delacroix,http://collection.cartermuseum.org/id/person-institution/eugÌ¬ne-delacroix,1798,1863,96
F. A. Rinehart,,http://collection.americanart.si.edu/id/person-institution/6740,1861,1928,Frank A. Rinehart,http://collection.cartermuseum.org/id/person-institution/frank-a.-rinehart,1861,1928,72
Francis Augustus Silva,,http://collection.americanart.si.edu/id/person-institution/28791,1835,1886,Francis Augusta Silva,http://collection.cartermuseum.org/id/person-institution/francis-augusta-silva,1835,1886,100
Francis Blackwell Mayer,,http://collection.americanart.si.edu/id/person-institution/3187,1827,1899,Francis Blackwell Mayer,http://collection.cartermuseum.org/id/person-institution/francis-blackwell-mayer,1827,1899,100
Francis Henry William Edmonds,,http://collection.americanart.si.edu/id/person-institution/1407,1806,1863,Francis William Edmonds,http://collection.cartermuseum.org/id/person-institution/francis-william-edmonds,1806,1863,78
