" name @AC"," person @AC"," birthYear @AC"," deathYear @AC"," name @SM"," person @SM","BirthYear@SM","DeathYear@SM","Confidence"
"Aaron Draper Shattuck","http://collection.cartermuseum.org/id/person-institution/aaron-draper-shattuck","1832","1928","A. D. Shattuck","http://collection.americanart.si.edu/id/person-institution/4401","1832","1928","53"
"Albert Sands Southworth","http://collection.cartermuseum.org/id/person-institution/albert-sands-southworth","1811","1894","Albert Southworth","http://collection.americanart.si.edu/id/person-institution/7222","1811","1894","77"
"Alexander Proctor","http://collection.cartermuseum.org/id/person-institution/alexander-proctor","1860","1950","Alexander Phimister Proctor","http://collection.americanart.si.edu/id/person-institution/6036","1860","1950","61"
"Alfred J. Frueh","http://collection.cartermuseum.org/id/person-institution/alfred-j.-frueh","1880","1968","Alfred Frueh","http://collection.americanart.si.edu/id/person-institution/1691","1880","1968","85"
"Alfred Jacob Miller","http://collection.cartermuseum.org/id/person-institution/alfred-jacob-miller","1810","1874","Alfred J. Miller","http://collection.americanart.si.edu/id/person-institution/3318","1810","1874","84"
"Alfred Jacob Miller","http://collection.cartermuseum.org/id/person-institution/alfred-jacob-miller","1810","1874","Alfred Miller","http://collection.americanart.si.edu/id/person-institution/3318","1810","1874","69"
"Andrew J. Russell","http://collection.cartermuseum.org/id/person-institution/andrew-j.-russell","1830","1902","Andrew J. Russell","http://collection.americanart.si.edu/id/person-institution/6741","1829","1902","75"
"Arthur B. Davies","http://collection.cartermuseum.org/id/person-institution/arthur-b.-davies","1862","1928","Arthur Bowen Davies","http://collection.americanart.si.edu/id/person-institution/1141","1862","1928","84"
"Arthur B. Davies","http://collection.cartermuseum.org/id/person-institution/arthur-b.-davies","1862","1928","Arthur Davies","http://collection.americanart.si.edu/id/person-institution/1141","1862","1928","87"
"Arthur Garfield Dove","http://collection.cartermuseum.org/id/person-institution/arthur-garfield-dove","1880","1946","Arthur G. Dove","http://collection.americanart.si.edu/id/person-institution/1324","1880","1946","64"
"Arthur Garfield Dove","http://collection.cartermuseum.org/id/person-institution/arthur-garfield-dove","1880","1946","Arthur Garfield Dove","http://collection.americanart.si.edu/id/person-institution/1324","1880","1946","100"
"Arthur Wesley Dow","http://collection.cartermuseum.org/id/person-institution/arthur-wesley-dow","1857","1922","Arthur W. Dow","http://collection.americanart.si.edu/id/person-institution/1325","1857","1922","72"
"Bertha Lum","http://collection.cartermuseum.org/id/person-institution/bertha-lum","1869","1954","Bertha Bull","http://collection.americanart.si.edu/id/person-institution/3016","1869","1954","75"
"Bessie Potter Vonnoh","http://collection.cartermuseum.org/id/person-institution/bessie-potter-vonnoh","1872","1955","Bessie Onahotema Potter Vonnoh","http://collection.americanart.si.edu/id/person-institution/6301","1872","1955","66"
"Bessie Potter Vonnoh","http://collection.cartermuseum.org/id/person-institution/bessie-potter-vonnoh","1872","1955","Bessie Onahotema Vonnoh","http://collection.americanart.si.edu/id/person-institution/6301","1872","1955","70"
"Bessie Potter Vonnoh","http://collection.cartermuseum.org/id/person-institution/bessie-potter-vonnoh","1872","1955","Bessie Potter","http://collection.americanart.si.edu/id/person-institution/6301","1872","1955","64"
"Bror Julius Olsson Nordfeldt","http://collection.cartermuseum.org/id/person-institution/bror-julius-olsson-nordfeldt","1878","1955","Bror J. O. Nordfeldt","http://collection.americanart.si.edu/id/person-institution/3568","1878","1955","63"
"Bror Julius Olsson Nordfeldt","http://collection.cartermuseum.org/id/person-institution/bror-julius-olsson-nordfeldt","1878","1955","Bror Julius Olsson","http://collection.americanart.si.edu/id/person-institution/3568","1878","1955","63"
"Bror Julius Olsson Nordfeldt","http://collection.cartermuseum.org/id/person-institution/bror-julius-olsson-nordfeldt","1878","1955","Bror Julius Olsson Nordfeldt","http://collection.americanart.si.edu/id/person-institution/3568","1878","1955","100"
"Carl Holty","http://collection.cartermuseum.org/id/person-institution/carl-holty","1900","1973","Carl Robert Holty","http://collection.americanart.si.edu/id/person-institution/2282","1900","1973","55"
"Carleton E. Watkins","http://collection.cartermuseum.org/id/person-institution/carleton-e.-watkins","1829","1916","Carleton Eugene Watkins","http://collection.americanart.si.edu/id/person-institution/5251","1829","1916","83"
"Carleton E. Watkins","http://collection.cartermuseum.org/id/person-institution/carleton-e.-watkins","1829","1916","Carleton Watkins","http://collection.americanart.si.edu/id/person-institution/5251","1829","1916","91"
"Charles Herbert Moore","http://collection.cartermuseum.org/id/person-institution/charles-herbert-moore","1840","1930","Charles Herbert Moore","http://collection.americanart.si.edu/id/person-institution/6621","1840","1930","100"
"Charles Sheeler","http://collection.cartermuseum.org/id/person-institution/charles-sheeler","1883","1965","Charles Keeler","http://collection.americanart.si.edu/id/person-institution/2577","1882","1964","55"
"Charles Sheeler","http://collection.cartermuseum.org/id/person-institution/charles-sheeler","1883","1965","Charles R. Sheeler; Jr.","http://collection.americanart.si.edu/id/person-institution/4409","1883","1965","64"
"Clara Sipprell","http://collection.cartermuseum.org/id/person-institution/clara-sipprell","1885","1975","Clara E. Sipprell","http://collection.americanart.si.edu/id/person-institution/6747","1885","1975","89"
"Clara Sipprell","http://collection.cartermuseum.org/id/person-institution/clara-sipprell","1885","1975","Clara Estelle Sipprell","http://collection.americanart.si.edu/id/person-institution/6747","1885","1975","62"
"Clara Sipprell","http://collection.cartermuseum.org/id/person-institution/clara-sipprell","1885","1975","Clarabelle E. Sipprell","http://collection.americanart.si.edu/id/person-institution/6747","1885","1975","62"
"Daniel Chester French","http://collection.cartermuseum.org/id/person-institution/daniel-chester-french","1850","1931","Daniel C. French","http://collection.americanart.si.edu/id/person-institution/1666","1850","1931","73"
"Dennis Miller Bunker","http://collection.cartermuseum.org/id/person-institution/dennis-miller-bunker","1861","1890","Dennis M. Bunker","http://collection.americanart.si.edu/id/person-institution/28792","1861","1890","78"
"Edward S. Curtis","http://collection.cartermuseum.org/id/person-institution/edward-s.-curtis","1868","1952","E. S. Curtis","http://collection.americanart.si.edu/id/person-institution/1083","1868","1952","69"
"Eadweard Muybridge","http://collection.cartermuseum.org/id/person-institution/eadweard-muybridge","1830","1904","Eadweard J. Muybridge","http://collection.americanart.si.edu/id/person-institution/3475","1830","1904","93"
"Eadweard Muybridge","http://collection.cartermuseum.org/id/person-institution/eadweard-muybridge","1830","1904","Eadweard James Muybridge","http://collection.americanart.si.edu/id/person-institution/3475","1830","1904","78"
"Edward S. Curtis","http://collection.cartermuseum.org/id/person-institution/edward-s.-curtis","1868","1952","Edward Curtis","http://collection.americanart.si.edu/id/person-institution/1083","1868","1952","87"
"Edward S. Curtis","http://collection.cartermuseum.org/id/person-institution/edward-s.-curtis","1868","1952","Edward Sheriff Curtis","http://collection.americanart.si.edu/id/person-institution/1083","1868","1952","73"
"Eug̬ne Delacroix","http://collection.cartermuseum.org/id/person-institution/eug̬ne-delacroix","1798","1863","Eug��ne Delacroix","http://collection.americanart.si.edu/id/person-institution/1183","1798","1863","97"
"Frank A. Rinehart","http://collection.cartermuseum.org/id/person-institution/frank-a.-rinehart","1861","1928","F. A. Rinehart","http://collection.americanart.si.edu/id/person-institution/6740","1861","1928","80"
"Francis Augusta Silva","http://collection.cartermuseum.org/id/person-institution/francis-augusta-silva","1835","1886","Francis Augustus Silva","http://collection.americanart.si.edu/id/person-institution/28791","1835","1886","100"
"Francis Blackwell Mayer","http://collection.cartermuseum.org/id/person-institution/francis-blackwell-mayer","1827","1899","Francis Blackwell Mayer","http://collection.americanart.si.edu/id/person-institution/3187","1827","1899","100"
"Francis William Edmonds","http://collection.cartermuseum.org/id/person-institution/francis-william-edmonds","1806","1863","Francis Henry William Edmonds","http://collection.americanart.si.edu/id/person-institution/1407","1806","1863","84"
"Francis William Edmonds","http://collection.cartermuseum.org/id/person-institution/francis-william-edmonds","1806","1863","Francis W. Edmonds","http://collection.americanart.si.edu/id/person-institution/1407","1806","1863","77"
"Francis William Edmonds","http://collection.cartermuseum.org/id/person-institution/francis-william-edmonds","1806","1863","Francis William Edmunds","http://collection.americanart.si.edu/id/person-institution/1407","1806","1863","100"
"Frank A. Rinehart","http://collection.cartermuseum.org/id/person-institution/frank-a.-rinehart","1861","1928","Frank Albert Rinehart","http://collection.americanart.si.edu/id/person-institution/6740","1861","1928","80"
"Frederic Remington","http://collection.cartermuseum.org/id/person-institution/frederic-remington","1861","1909","Frederic Sackrider Remington","http://collection.americanart.si.edu/id/person-institution/4002","1861","1909","63"
"Frederick William MacMonnies","http://collection.cartermuseum.org/id/person-institution/frederick-william-macmonnies","1863","1937","Frederick W. MacMonnies","http://collection.americanart.si.edu/id/person-institution/3059","1863","1937","83"
"Frederick William MacMonnies","http://collection.cartermuseum.org/id/person-institution/frederick-william-macmonnies","1863","1937","Frederick William MacMonnies","http://collection.americanart.si.edu/id/person-institution/3059","1863","1937","100"
"George Inness","http://collection.cartermuseum.org/id/person-institution/george-inness","1825","1894","George Inness; Sr.","http://collection.americanart.si.edu/id/person-institution/2392","1825","1894","74"
"Georgia O'Keeffe","http://collection.cartermuseum.org/id/person-institution/georgia-okeeffe","1887","1986","Georgia Totto O'Keeffe","http://collection.americanart.si.edu/id/person-institution/3597","1887","1986","75"
"Henry P. Bosse","http://collection.cartermuseum.org/id/person-institution/henry-p.-bosse","1844","1903","Henry Peter Bosse","http://collection.americanart.si.edu/id/person-institution/6667","1844","1903","80"
